Store,Date,Weekly_Sales,Type,forecast
4,2012-10-26,2149594.46,A,2151659.59
5,2012-08-03,324195.17,B,317738.56
5,2012-08-10,306759.7,B,289886.16000000003
5,2012-08-17,314014.18,B,303643.83999999997
5,2012-08-24,320831.36,B,310338.17
5,2012-08-31,344642.01,B,315645.53
5,2012-09-07,350648.91,B,321110.22
5,2012-09-14,299800.67,B,278529.71
5,2012-09-21,307306.76,B,291024.98
5,2012-09-28,310141.68,B,292315.38
5,2012-10-05,343048.29,B,309111.47000000003
5,2012-10-12,325345.41,B,286117.72
5,2012-10-19,313358.15,B,306069.18
5,2012-10-26,319550.77,B,307035.11
6,2012-08-03,1627274.93,A,1601584.57
6,2012-08-10,1588380.73,A,1484995.38
6,2012-08-17,1543049.52,A,1493544.04
6,2012-08-24,1501095.49,A,1420405.41
6,2012-08-31,1577439.81,A,1481618.74
6,2012-09-07,1608077.01,A,1483574.38
6,2012-09-14,1375166.86,A,1351407.79
6,2012-09-21,1425603.65,A,1336044.75
6,2012-09-28,1369131.46,A,1307551.92
6,2012-10-05,1518177.71,A,1481739.2
6,2012-10-12,1459396.84,A,1386520.99
6,2012-10-19,1436883.99,A,1417922.3699999999
6,2012-10-26,1431426.34,A,1419445.12
7,2012-08-03,680954.8099999999,B,695392.84
7,2012-08-10,675926.3,B,670670.46
7,2012-08-17,642450.4,B,645156.21
7,2012-08-24,609099.37,B,629994.47
7,2012-08-31,586467.16,B,592355.24
7,2012-09-07,597876.5499999999,B,613135.23
7,2012-09-14,541120.2,B,558981.45
7,2012-09-21,530842.25,B,536144.81
7,2012-09-28,525545.76,B,488880.26
7,2012-10-05,505830.56,B,525866.36
7,2012-10-12,503463.93,B,501959.19
7,2012-10-19,516424.83,B,558691.4299999999
7,2012-10-26,495543.27999999997,B,527339.52
8,2012-08-03,897076.73,A,892393.77
8,2012-08-10,930745.6900000001,A,856796.1
8,2012-08-17,896613.19,A,895066.5
8,2012-08-24,936373.65,A,912542.82
8,2012-08-31,976137.73,A,891387.14
8,2012-09-07,932160.37,A,848358.09
8,2012-09-14,883569.38,A,870971.82
8,2012-09-21,857796.45,A,806444.29
8,2012-09-28,884724.41,A,809049.37
8,2012-10-05,976436.02,A,929976.55
8,2012-10-12,927511.99,A,863188.26
8,2012-10-19,900309.75,A,905984.49
8,2012-10-26,891671.4400000001,A,876712.31
9,2012-08-03,533887.54,B,554879.67
9,2012-08-10,538713.47,B,520284.79
9,2012-08-17,535153.47,B,540819.44
9,2012-08-24,572887.78,B,542663.53
9,2012-08-31,576879.15,B,544643.33
9,2012-09-07,565812.29,B,528784.86
9,2012-09-14,523427.35,B,500274.03
9,2012-09-21,533756.88,B,506743.78
9,2012-09-28,516361.06,B,508567.04
9,2012-10-05,606755.3,B,553836.98
9,2012-10-12,558464.8,B,529515.66
9,2012-10-19,542009.46,B,557075.21
9,2012-10-26,549731.49,B,548527.49
10,2012-08-03,1939440.09,B,1886299.98
10,2012-08-10,1880436.94,B,1917397.6300000001
10,2012-08-17,1827797.4,B,1954849.68
10,2012-08-24,1764984.15,B,1728399.07
10,2012-08-31,1650285.54,B,1758587.35
10,2012-09-07,1708283.28,B,1670579.82
10,2012-09-14,1640168.99,B,1650894.3
10,2012-09-21,1671857.57,B,1685910.53
10,2012-09-28,1694862.41,B,1627707.31
10,2012-10-05,1758971.38,B,1788227.6
10,2012-10-12,1713889.11,B,1704753.02
10,2012-10-19,1734834.82,B,1745928.56
10,2012-10-26,1744349.05,B,1771792.97
11,2012-08-03,1399341.07,A,1403198.94
11,2012-08-10,1388973.65,A,1354188.43
11,2012-08-17,1421307.2,A,1484169.74
11,2012-08-24,1409515.73,A,1304706.75
11,2012-08-31,1372872.35,A,1297792.41
11,2012-09-07,1304584.4,A,1249439.95
11,2012-09-14,1267675.05,A,1270816.01
11,2012-09-21,1326132.98,A,1235775.15
11,2012-09-28,1227430.73,A,1190515.83
11,2012-10-05,1422794.26,A,1346271.06
11,2012-10-12,1311965.09,A,1286388.96
11,2012-10-19,1232073.18,A,1325107.53
11,2012-10-26,1200729.45,A,1310684.1
12,2012-08-03,958667.23,B,988712.52
12,2012-08-10,984689.9,B,955913.6799999999
12,2012-08-17,1005003.12,B,966817.24
12,2012-08-24,1048101.39,B,1017593.47
12,2012-08-31,1061943.49,B,1052051.45
12,2012-09-07,955146.04,B,922850.57
12,2012-09-14,885892.37,B,889290.23
12,2012-09-21,922735.37,B,871692.74
12,2012-09-28,880415.67,B,866401.4500000001
12,2012-10-05,979825.9199999999,B,951244.66
12,2012-10-12,934917.47,B,927600.01
12,2012-10-19,960945.4299999999,B,938604.58
12,2012-10-26,974697.6,B,990926.38
13,2012-08-03,2044148.23,A,2076231.8
13,2012-08-10,2041019.92,A,1970341.38
13,2012-08-17,2095769.18,A,2090340.98
13,2012-08-24,2059458.25,A,2035244.54
13,2012-08-31,2073855.42,A,1953628.82
13,2012-09-07,2165796.31,A,1872921.31
13,2012-09-14,1919917.03,A,1923223.82
13,2012-09-21,1938379.66,A,1847430.96
13,2012-09-28,1927664.1099999999,A,1835662.69
13,2012-10-05,2041918.74,A,2067232.56
13,2012-10-12,1999079.44,A,1929659.07
13,2012-10-19,2018010.15,A,1973544.27
13,2012-10-26,2035189.6600000001,A,1948733.81
14,2012-08-03,1656886.46,A,2066020.69
14,2012-08-10,1648570.03,A,1928773.82
14,2012-08-17,1660433.3,A,1896873.99
14,2012-08-24,1621841.33,A,2273470.62
14,2012-08-31,1613342.19,A,1750891.47
14,2012-09-07,1904512.34,A,2202742.9
14,2012-09-14,1554794.22,A,1864637.89
14,2012-09-21,1565352.46,A,1871555.64
14,2012-09-28,1522512.2,A,1809989.29
14,2012-10-05,1687592.16,A,2078796.76
14,2012-10-12,1639585.6099999999,A,1890870.75
14,2012-10-19,1590274.72,A,2009004.5899999999
14,2012-10-26,1704357.62,A,2056846.12
15,2012-08-03,590739.62,B,607961.21
15,2012-08-10,590453.63,B,590836.37
15,2012-08-17,579738.2,B,599488.98
15,2012-08-24,606210.77,B,605413.17
15,2012-08-31,610185.32,B,649159.6799999999
15,2012-09-07,587259.8200000001,B,607593.51
15,2012-09-14,527509.76,B,545052.34
15,2012-09-21,533161.64,B,545570.86
15,2012-09-28,553901.97,B,521297.31
15,2012-10-05,573498.64,B,579068.88
15,2012-10-12,551799.63,B,537300.94
15,2012-10-19,555652.77,B,603318.89
15,2012-10-26,558473.6,B,589842.69
16,2012-08-03,584000.71,B,592981.33
16,2012-08-10,554036.84,B,563884.47
16,2012-08-17,521896.60000000003,B,554630.42
16,2012-08-24,551152.15,B,557312.01
16,2012-08-31,551837.3099999999,B,580805.3300000001
16,2012-09-07,537138.58,B,574622.56
16,2012-09-14,526525.16,B,539081.09
16,2012-09-21,509942.56,B,504856.97
16,2012-09-28,469607.73,B,450075.31
16,2012-10-05,471281.68,B,482926.93
16,2012-10-12,491817.19,B,498241.06
16,2012-10-19,577198.97,B,560104.16
16,2012-10-26,475770.14,B,505918.21
17,2012-08-03,877813.33,B,866184.92
17,2012-08-10,849074.04,B,800819.79
17,2012-08-17,844928.17,B,797523.04
17,2012-08-24,924299.78,B,837390.79
17,2012-08-31,865924.2,B,847380.07
17,2012-09-07,1255633.29,B,1161900.18
17,2012-09-14,1071040.22,B,1051116.95
17,2012-09-21,938303.28,B,895535.31
17,2012-09-28,972716.24,B,868191.05
17,2012-10-05,952609.17,B,918006.9
17,2012-10-12,919878.3400000001,B,884042.63
17,2012-10-19,957356.84,B,877380.22
17,2012-10-26,943465.29,B,936508.43
18,2012-08-03,1052066.58,B,1002806.39
18,2012-08-10,967304.07,B,928470.83
18,2012-08-17,1048134.24,B,932679.79
18,2012-08-24,1145840.91,B,1147906.46
18,2012-08-31,1117097.23,B,540922.94
18,2012-09-07,1083521.24,B,951549.61
18,2012-09-14,960476.1,B,845715.37
18,2012-09-21,971386.65,B,853073.17
18,2012-09-28,1002856.2,B,847348.08
18,2012-10-05,1092204.79,B,1019741.1
18,2012-10-12,1074079.0,B,953533.9500000001
18,2012-10-19,1048706.75,B,1048212.62
18,2012-10-26,1127516.25,B,1106642.63
19,2012-08-03,1342123.78,A,1408968.55
19,2012-08-10,1408907.89,A,1360969.45
19,2012-08-17,1375101.26,A,1391792.69
19,2012-08-24,1544653.3699999999,A,1547729.24
19,2012-08-31,1542719.87,A,1609951.02
19,2012-09-07,1497073.82,A,1566712.79
19,2012-09-14,1370653.41,A,1365633.53
19,2012-09-21,1338572.29,A,1300375.76
19,2012-09-28,1338299.02,A,1330757.22
19,2012-10-05,1408016.1,A,1461718.87
19,2012-10-12,1352809.5,A,1318905.53
19,2012-10-19,1321102.35,A,1374863.1
19,2012-10-26,1322117.96,A,1396612.36
20,2012-08-03,2094515.71,A,2189353.63
20,2012-08-10,2144245.39,A,2052246.4
20,2012-08-17,2045061.22,A,1990017.93
20,2012-08-24,2005341.4300000002,A,1933577.2
20,2012-08-31,2062481.56,A,2141765.98
20,2012-09-07,2080529.06,A,2050542.56
20,2012-09-14,2047949.98,A,1979009.46
20,2012-09-21,2028587.24,A,1888119.7
20,2012-09-28,2008350.58,A,1945808.26
20,2012-10-05,2246411.89,A,2135982.79
20,2012-10-12,2162951.36,A,2010107.68
20,2012-10-19,1999363.49,A,2104241.9
20,2012-10-26,2031650.55,A,2065421.52
21,2012-08-03,693785.85,B,783614.89
21,2012-08-10,700272.01,B,776933.37
21,2012-08-17,751963.8099999999,B,855546.5
21,2012-08-24,802003.61,B,821127.53
21,2012-08-31,763867.59,B,705557.8
21,2012-09-07,642827.29,B,653989.65
21,2012-09-14,628494.63,B,653525.84
21,2012-09-21,667151.46,B,681913.29
21,2012-09-28,647097.65,B,651970.48
21,2012-10-05,651768.91,B,663452.46
21,2012-10-12,653043.44,B,671379.44
21,2012-10-19,641368.14,B,729036.0599999999
21,2012-10-26,675202.87,B,738812.0
22,2012-08-03,1007257.83,B,983232.96
22,2012-08-10,973812.79,B,991779.2
22,2012-08-17,981273.26,B,973004.91
22,2012-08-24,1060906.75,B,1181815.31
22,2012-08-31,1022270.86,B,912762.76
22,2012-09-07,996628.8,B,1004434.54
22,2012-09-14,918049.28,B,937420.65
22,2012-09-21,921612.53,B,899834.75
22,2012-09-28,976479.51,B,953314.16
22,2012-10-05,1009887.36,B,993436.67
22,2012-10-12,1004039.84,B,944337.32
22,2012-10-19,978027.95,B,981567.22
22,2012-10-26,1094422.69,B,1099351.68
23,2012-08-03,1416926.31,B,1416344.68
23,2012-08-10,1436311.76,B,1380952.05
23,2012-08-17,1510131.45,B,1453416.53
23,2012-08-24,1702220.96,B,1637266.29
23,2012-08-31,1577468.78,B,1464295.69
23,2012-09-07,1427162.26,B,1423289.9
23,2012-09-14,1279041.64,B,1253329.17
23,2012-09-21,1338627.55,B,1289082.81
23,2012-09-28,1319035.06,B,1275597.85
23,2012-10-05,1464616.59,B,1463501.99
23,2012-10-12,1412925.25,B,1257778.34
23,2012-10-19,1363155.77,B,1441032.59
23,2012-10-26,1347454.59,B,1407191.96
24,2012-08-03,1440374.13,A,1417616.81
24,2012-08-10,1497054.81,A,1402818.01
24,2012-08-17,1397970.54,A,1352039.88
24,2012-08-24,1303726.54,A,1402372.09
24,2012-08-31,1344558.92,A,1196105.44
24,2012-09-07,1477134.75,A,1527455.19
24,2012-09-14,1242909.53,A,1227535.97
24,2012-09-21,1261158.47,A,1232376.49
24,2012-09-28,1259278.3599999999,A,1246242.61
24,2012-10-05,1416720.54,A,1405914.39
24,2012-10-12,1416301.17,A,1333315.03
24,2012-10-19,1255414.84,A,1283563.43
24,2012-10-26,1307182.29,A,1307142.75
25,2012-08-03,709724.6,B,679706.01
25,2012-08-10,710496.97,B,667130.48
25,2012-08-17,728467.72,B,688958.75
25,2012-08-24,756527.64,B,726422.55
25,2012-08-31,714828.73,B,699779.0
25,2012-09-07,671482.9,B,673248.48
25,2012-09-14,657241.63,B,628720.46
25,2012-09-21,664745.2,B,620885.93
25,2012-09-28,683300.84,B,639160.24
25,2012-10-05,699536.73,B,671522.87
25,2012-10-12,697317.41,B,646915.47
25,2012-10-19,685531.85,B,690675.5
25,2012-10-26,688940.9400000001,B,724443.97
26,2012-08-03,1090915.09,A,1107552.43
26,2012-08-10,1121476.51,A,1087644.5
26,2012-08-17,1068292.56,A,1021766.75
26,2012-08-24,1022704.2,A,1064617.6199999999
26,2012-08-31,1053495.51,A,1040143.14
26,2012-09-07,1081874.03,A,1069710.97
26,2012-09-14,986131.94,A,951569.84
26,2012-09-21,961084.08,A,923644.6
26,2012-09-28,964726.37,A,959339.51
26,2012-10-05,1095504.26,A,1130022.99
26,2012-10-12,1044639.69,A,987886.08
26,2012-10-19,975578.02,A,974907.28
26,2012-10-26,958619.8,A,972256.98
27,2012-08-03,1705810.84,A,1747289.53
27,2012-08-10,1720537.26,A,1758437.96
27,2012-08-17,1735339.59,A,1781905.24
27,2012-08-24,1780443.3599999999,A,2034400.78
27,2012-08-31,1731935.43,A,1511717.53
27,2012-09-07,1840955.23,A,1911470.84
27,2012-09-14,1519604.5,A,1613773.9
27,2012-09-21,1557485.75,A,1606208.68
27,2012-09-28,1540687.6300000001,A,1599626.26
27,2012-10-05,1591816.8800000001,A,1672339.27
27,2012-10-12,1660081.29,A,1682652.51
27,2012-10-19,1620374.24,A,1689591.44
27,2012-10-26,1703047.74,A,1710372.4
28,2012-08-03,1376520.0999999999,A,1523870.8900000001
28,2012-08-10,1269113.41,A,1218764.94
28,2012-08-17,1184198.41,A,1200019.74
28,2012-08-24,1199309.59,A,1166479.51
28,2012-08-31,1227118.75,A,1468871.49
28,2012-09-07,1469693.99,A,1310087.0
28,2012-09-14,1124660.77,A,1159212.1
28,2012-09-21,1135340.19,A,1109105.92
28,2012-09-28,1129508.61,A,1120731.76
28,2012-10-05,1462941.03,A,1557314.58
28,2012-10-12,1205536.71,A,1220984.94
28,2012-10-19,1143724.48,A,1203172.05
28,2012-10-26,1213860.61,A,1242746.06
29,2012-08-03,504754.74,B,503486.37
29,2012-08-10,518628.42,B,471311.5
29,2012-08-17,416881.66,B,498056.0
29,2012-08-24,615026.15,B,608294.98
29,2012-08-31,545844.91,B,497085.91
29,2012-09-07,540811.85,B,505406.72000000003
29,2012-09-14,475127.18,B,474129.35
29,2012-09-21,489079.23,B,475696.37
29,2012-09-28,489674.23,B,446516.26
29,2012-10-05,520632.8,B,514993.0
29,2012-10-12,513737.0,B,475776.45
29,2012-10-19,516909.24,B,505068.22000000003
29,2012-10-26,534970.68,B,515119.64
30,2012-08-03,425136.55,C,431798.64
30,2012-08-10,430878.27999999997,C,412224.67
30,2012-08-17,423351.15,C,414450.61000000004
30,2012-08-24,425296.64999999997,C,387944.83
30,2012-08-31,439132.5,C,369722.32
30,2012-09-07,433565.77,C,370897.82
30,2012-09-14,437773.31,C,382914.66
30,2012-09-21,443891.64,C,391837.56
30,2012-09-28,425410.04,C,387001.13
30,2012-10-05,446751.45,C,417528.26
30,2012-10-12,434593.26,C,410711.99
30,2012-10-19,437537.29,C,428958.53
30,2012-10-26,439424.5,C,426151.88
31,2012-08-03,1390174.63,A,1428993.33
31,2012-08-10,1386472.59,A,1443311.49
31,2012-08-17,1410181.7,A,1487542.53
31,2012-08-24,1379783.21,A,1417267.07
31,2012-08-31,1373651.49,A,1385769.03
31,2012-09-07,1358111.62,A,1376670.27
31,2012-09-14,1327705.44,A,1363460.86
31,2012-09-21,1373064.87,A,1347607.74
31,2012-09-28,1279080.58,A,1285534.74
31,2012-10-05,1363365.05,A,1427383.24
31,2012-10-12,1401113.42,A,1378340.18
31,2012-10-19,1378730.45,A,1409310.4
31,2012-10-26,1340232.55,A,1346862.72
32,2012-08-03,1183571.3499999999,A,1201694.1400000001
32,2012-08-10,1227469.2,A,1206795.74
32,2012-08-17,1261306.3699999999,A,1221318.17
32,2012-08-24,1272809.11,A,1183740.91
32,2012-08-31,1183979.27,A,1152117.5
32,2012-09-07,1126685.95,A,1128237.3
32,2012-09-14,1156377.47,A,1142499.25
32,2012-09-21,1159119.6,A,1116140.29
32,2012-09-28,1157111.15,A,1088943.98
32,2012-10-05,1202775.24,A,1149448.02
32,2012-10-12,1176681.31,A,1175420.26
32,2012-10-19,1199292.06,A,1151258.74
32,2012-10-26,1219979.29,A,1185391.96
33,2012-08-03,258533.12,A,242456.39
33,2012-08-10,297753.49,A,274721.85
33,2012-08-17,270097.76,A,242771.37
33,2012-08-24,247672.56,A,237095.82
33,2012-08-31,237129.81,A,239198.36
33,2012-09-07,286428.78,A,281842.27999999997
33,2012-09-14,277417.53,A,262407.57
33,2012-09-21,252709.58000000002,A,234793.12
33,2012-09-28,242813.51,A,229731.98
33,2012-10-05,265444.9,A,262159.13
33,2012-10-12,291781.14999999997,A,272487.33
33,2012-10-19,254412.34,A,233543.08000000002
33,2012-10-26,253731.13,A,231319.96
34,2012-08-03,973250.41,A,942236.45
34,2012-08-10,1004523.59,A,956251.18
34,2012-08-17,1013820.86,A,960418.54
34,2012-08-24,926250.21,A,871404.6
34,2012-08-31,933487.71,A,926455.64
34,2012-09-07,976415.56,A,930506.14
34,2012-09-14,955211.7000000001,A,927249.61
34,2012-09-21,943047.78,A,902852.73
34,2012-09-28,928629.31,A,871847.85
34,2012-10-05,968896.6799999999,A,954069.45
34,2012-10-12,948613.39,A,911788.79
34,2012-10-19,963516.28,A,953693.23
34,2012-10-26,956987.8099999999,A,958063.87
35,2012-08-03,866216.36,B,826820.71
35,2012-08-10,888368.8,B,819911.89
35,2012-08-17,887979.47,B,820288.35
35,2012-08-24,895274.72,B,897037.25
35,2012-08-31,931278.97,B,813486.55
35,2012-09-07,984833.35,B,922440.64
35,2012-09-14,821568.64,B,738792.11
35,2012-09-21,772302.94,B,705802.45
35,2012-09-28,814099.86,B,749676.95
35,2012-10-05,866064.4,B,791637.53
35,2012-10-12,873643.14,B,772859.25
35,2012-10-19,829284.67,B,811328.4
35,2012-10-26,865137.6,B,808821.5
36,2012-08-03,304989.97000000003,A,381017.75
36,2012-08-10,298947.51,A,380188.69
36,2012-08-17,314607.22000000003,A,373267.57999999996
36,2012-08-24,282545.55,A,344964.2
36,2012-08-31,282647.48,A,350276.29
36,2012-09-07,293728.57,A,352960.64
36,2012-09-14,301893.63,A,343108.12
36,2012-09-21,293804.45,A,322405.13
36,2012-09-28,270677.98,A,314910.37
36,2012-10-05,277137.86,A,346137.87
36,2012-10-12,300236.85000000003,A,342076.99
36,2012-10-19,287360.05,A,328633.33999999997
36,2012-10-26,272489.41,A,306193.81
37,2012-08-03,521959.28,C,510787.46
37,2012-08-10,500964.59,C,502504.39
37,2012-08-17,509633.71,C,506897.98
37,2012-08-24,522665.04,C,527947.21
37,2012-08-31,538344.1,C,530367.8300000001
37,2012-09-07,526838.14,C,506273.74
37,2012-09-14,514651.74,C,513341.94
37,2012-09-21,521320.98,C,516556.94
37,2012-09-28,527953.14,C,516402.10000000003
37,2012-10-05,546122.37,C,522816.85
37,2012-10-12,521810.75,C,513636.01
37,2012-10-19,551969.1,C,522784.33
37,2012-10-26,534738.43,C,517355.44
38,2012-08-03,469311.17,C,437631.44
38,2012-08-10,436690.13,C,387844.05
38,2012-08-17,411866.45999999996,C,362224.7
38,2012-08-24,397428.22,C,365672.55
38,2012-08-31,424904.95,C,416953.51
38,2012-09-07,490274.82,C,397771.68
38,2012-09-14,430944.39,C,408188.88
38,2012-09-21,409600.98,C,394665.28
38,2012-09-28,398468.08,C,366819.83999999997
38,2012-10-05,458479.01,C,449516.29
38,2012-10-12,437320.66,C,400430.78
38,2012-10-19,428806.46,C,402709.17000000004
38,2012-10-26,417290.38,C,378539.17
39,2012-08-03,1608277.74,A,1518790.89
39,2012-08-10,1641867.92,A,1514055.97
39,2012-08-17,1720221.91,A,1629066.9
39,2012-08-24,1724669.75,A,1573898.63
39,2012-08-31,1710923.94,A,1465089.85
39,2012-09-07,1609811.75,A,1429345.86
39,2012-09-14,1447614.08,A,1372500.6300000001
39,2012-09-21,1555672.51,A,1338657.95
39,2012-09-28,1495607.07,A,1311775.83
39,2012-10-05,1574408.67,A,1443884.39
39,2012-10-12,1494417.07,A,1384721.84
39,2012-10-19,1577486.33,A,1465283.29
39,2012-10-26,1569502.0,A,1472663.1
40,2012-08-03,1068346.76,A,1063818.2
40,2012-08-10,1007906.43,A,955506.95
40,2012-08-17,969387.48,A,943237.12
40,2012-08-24,945318.47,A,969611.2999999999
40,2012-08-31,987264.67,A,957298.26
40,2012-09-07,1088248.4,A,1021391.99
40,2012-09-14,901709.82,A,890661.79
40,2012-09-21,899768.4,A,876583.98
40,2012-09-28,919595.44,A,912857.1
40,2012-10-05,1069112.0,A,1070389.98
40,2012-10-12,982523.26,A,936751.68
40,2012-10-19,918170.5,A,942319.65
40,2012-10-26,921264.52,A,941675.95
41,2012-08-03,1439607.35,A,1402233.69
41,2012-08-10,1504545.94,A,1356689.88
41,2012-08-17,1560590.05,A,1412959.97
41,2012-08-24,1464462.85,A,1328740.71
41,2012-08-31,1360517.52,A,1283849.38
41,2012-09-07,1392143.82,A,1280958.97
41,2012-09-14,1306644.25,A,1197019.39
41,2012-09-21,1276609.36,A,1173059.79
41,2012-09-28,1307928.01,A,1160619.61
41,2012-10-05,1400160.95,A,1277882.77
41,2012-10-12,1409544.97,A,1247130.22
41,2012-10-19,1326197.24,A,1214944.29
41,2012-10-26,1316542.59,A,1274463.02
42,2012-08-03,573084.71,C,572603.33
42,2012-08-10,576620.31,C,603147.26
42,2012-08-17,575997.78,C,526641.23
42,2012-08-24,535537.03,C,503720.98
42,2012-08-31,504760.57,C,537124.76
42,2012-09-07,617405.35,C,608390.9400000001
42,2012-09-14,586737.66,C,576837.09
42,2012-09-21,527165.7,C,528486.45
42,2012-09-28,505978.46,C,510243.79
42,2012-10-05,593162.53,C,649111.23
42,2012-10-12,612379.9,C,613531.11
42,2012-10-19,541406.98,C,537276.41
42,2012-10-26,514756.08,C,515599.69999999995
43,2012-08-03,614378.9400000001,C,605956.59
43,2012-08-10,643558.78,C,595626.56
43,2012-08-17,640210.85,C,663396.3200000001
43,2012-08-24,598234.64,C,561573.08
43,2012-08-31,593141.29,C,594224.9
43,2012-09-07,663814.18,C,649128.23
43,2012-09-14,625196.94,C,618877.13
43,2012-09-21,601990.02,C,586108.13
43,2012-09-28,577792.32,C,555183.72
43,2012-10-05,642614.89,C,642828.62
43,2012-10-12,619369.72,C,590984.56
43,2012-10-19,623919.23,C,594625.96
43,2012-10-26,587603.55,C,572516.57
44,2012-08-03,342385.38,C,298080.45
44,2012-08-10,333594.81,C,290399.66
44,2012-08-17,327389.51,C,290909.69
44,2012-08-24,337985.74,C,324174.79
44,2012-08-31,339490.69,C,309543.52
44,2012-09-07,338737.33,C,295811.25
44,2012-09-14,347726.67,C,303974.28
44,2012-09-21,336017.6,C,307409.13
44,2012-09-28,355307.94,C,299757.75
44,2012-10-05,337390.44,C,312577.36
44,2012-10-12,337796.13,C,293031.78
44,2012-10-19,323766.77,C,305969.81
44,2012-10-26,361067.07,C,306336.07
45,2012-08-03,725729.51,B,765996.92
45,2012-08-10,733037.32,B,724180.89
45,2012-08-17,722496.9299999999,B,712362.72
45,2012-08-24,718232.26,B,833979.01
45,2012-08-31,734297.87,B,726482.39
45,2012-09-07,766512.66,B,746129.56
45,2012-09-14,702238.27,B,711367.56
45,2012-09-21,723086.2,B,714106.42
45,2012-09-28,713173.95,B,698986.34
45,2012-10-05,733455.0700000001,B,753447.05
45,2012-10-12,734464.36,B,720946.99
45,2012-10-19,718125.53,B,771686.4
45,2012-10-26,760281.43,B,781694.57
